Title,Element Name,Weight,Data Value
Astronomers,Active Learning,608,4.12
Molecular and Cellular Biologists,Active Learning,608,4.12
Nurse Practitioners,Active Learning,608,4.12
"Physics Teachers, Postsecondary",Active Learning,608,4.12
"Agricultural Sciences Teachers, Postsecondary",Active Learning,608,4
Allergists and Immunologists,Active Learning,608,4
"Anthropology and Archeology Teachers, Postsecondary",Active Learning,608,4
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Active Learning,608,4
"Art, Drama, and Music Teachers, Postsecondary",Active Learning,608,4
Biochemists and Biophysicists,Active Learning,608,4
Chief Executives,Active Learning,608,4
Clinical Nurse Specialists,Active Learning,608,4
Clinical Psychologists,Active Learning,608,4
Counseling Psychologists,Active Learning,608,4
"Criminal Justice and Law Enforcement Teachers, Postsecondary",Active Learning,608,4
"Education Teachers, Postsecondary",Active Learning,608,4
"Environmental Science Teachers, Postsecondary",Active Learning,608,4
"Health Specialties Teachers, Postsecondary",Active Learning,608,4
Hospitalists,Active Learning,608,4
Instructional Coordinators,Active Learning,608,4
"Judges, Magistrate Judges, and Magistrates",Active Learning,608,4
"Law Teachers, Postsecondary",Active Learning,608,4
Neuropsychologists and Clinical Neuropsychologists,Active Learning,608,4
Nurse Anesthetists,Active Learning,608,4
Nurse Midwives,Active Learning,608,4
"Nursing Instructors and Teachers, Postsecondary",Active Learning,608,4
Obstetricians and Gynecologists,Active Learning,608,4
"Political Science Teachers, Postsecondary",Active Learning,608,4
Preventive Medicine Physicians,Active Learning,608,4
Program Directors,Active Learning,608,4
Psychiatrists,Active Learning,608,4
Soil and Plant Scientists,Active Learning,608,4
Advanced Practice Psychiatric Nurses,Active Learning,608,3.88
Anthropologists,Active Learning,608,3.88
Archeologists,Active Learning,608,3.88
"Architecture Teachers, Postsecondary",Active Learning,608,3.88
Atmospheric and Space Scientists,Active Learning,608,3.88
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",Active Learning,608,3.88
Audiologists,Active Learning,608,3.88
"Biological Science Teachers, Postsecondary",Active Learning,608,3.88
Biostatisticians,Active Learning,608,3.88
"Chemistry Teachers, Postsecondary",Active Learning,608,3.88
Clergy,Active Learning,608,3.88
Critical Care Nurses,Active Learning,608,3.88
"Dentists, General",Active Learning,608,3.88
"Education Administrators, Elementary and Secondary School",Active Learning,608,3.88
"Elementary School Teachers, Except Special Education",Active Learning,608,3.88
Environmental Engineers,Active Learning,608,3.88
Farm and Home Management Advisors,Active Learning,608,3.88
Fashion Designers,Active Learning,608,3.88
Financial Examiners,Active Learning,608,3.88
Genetic Counselors,Active Learning,608,3.88
Informatics Nurse Specialists,Active Learning,608,3.88
"Internists, General",Active Learning,608,3.88
"Library Science Teachers, Postsecondary",Active Learning,608,3.88
Marketing Managers,Active Learning,608,3.88
Nuclear Medicine Physicians,Active Learning,608,3.88
Occupational Therapists,Active Learning,608,3.88
Oral and Maxillofacial Surgeons,Active Learning,608,3.88
Pathologists,Active Learning,608,3.88
"Pediatricians, General",Active Learning,608,3.88
"Psychology Teachers, Postsecondary",Active Learning,608,3.88
School Psychologists,Active Learning,608,3.88
"Social Work Teachers, Postsecondary",Active Learning,608,3.88
"Sociology Teachers, Postsecondary",Active Learning,608,3.88
Sports Medicine Physicians,Active Learning,608,3.88
Surgeons,Active Learning,608,3.88
Acute Care Nurses,Active Learning,608,3.75
Air Traffic Controllers,Active Learning,608,3.75
"Airline Pilots, Copilots, and Flight Engineers",Active Learning,608,3.75
"Arbitrators, Mediators, and Conciliators",Active Learning,608,3.75
Athletic Trainers,Active Learning,608,3.75
Business Intelligence Analysts,Active Learning,608,3.75
"Business Teachers, Postsecondary",Active Learning,608,3.75
Coaches and Scouts,Active Learning,608,3.75
"Communications Teachers, Postsecondary",Active Learning,608,3.75
"Computer Science Teachers, Postsecondary",Active Learning,608,3.75
"Education Administrators, Postsecondary",Active Learning,608,3.75
"Educational, Guidance, School, and Vocational Counselors",Active Learning,608,3.75
"English Language and Literature Teachers, Postsecondary",Active Learning,608,3.75
Environmental Engineering Technicians,Active Learning,608,3.75
Epidemiologists,Active Learning,608,3.75
Equal Opportunity Representatives and Officers,Active Learning,608,3.75
Family and General Practitioners,Active Learning,608,3.75
"Financial Managers, Branch or Department",Active Learning,608,3.75
Fire-Prevention and Protection Engineers,Active Learning,608,3.75
First-Line Supervisors of Office and Administrative Support Workers,Active Learning,608,3.75
Food Scientists and Technologists,Active Learning,608,3.75
"Foreign Language and Literature Teachers, Postsecondary",Active Learning,608,3.75
Forest Fire Fighting and Prevention Supervisors,Active Learning,608,3.75
"Forestry and Conservation Science Teachers, Postsecondary",Active Learning,608,3.75
Geneticists,Active Learning,608,3.75
Historians,Active Learning,608,3.75
"History Teachers, Postsecondary",Active Learning,608,3.75
Industrial Safety and Health Engineers,Active Learning,608,3.75
Investment Fund Managers,Active Learning,608,3.75
Lawyers,Active Learning,608,3.75
Logistics Engineers,Active Learning,608,3.75
Marriage and Family Therapists,Active Learning,608,3.75
"Mathematical Science Teachers, Postsecondary",Active Learning,608,3.75
Mathematicians,Active Learning,608,3.75
Medical and Health Services Managers,Active Learning,608,3.75
"Medical Scientists, Except Epidemiologists",Active Learning,608,3.75
Microbiologists,Active Learning,608,3.75
Nanosystems Engineers,Active Learning,608,3.75
Naturopathic Physicians,Active Learning,608,3.75
Neurologists,Active Learning,608,3.75
Operations Research Analysts,Active Learning,608,3.75
Orthodontists,Active Learning,608,3.75
Physicists,Active Learning,608,3.75
Podiatrists,Active Learning,608,3.75
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",Active Learning,608,3.75
Ship and Boat Captains,Active Learning,608,3.75
Statisticians,Active Learning,608,3.75
Substance Abuse and Behavioral Disorder Counselors,Active Learning,608,3.75
Training and Development Managers,Active Learning,608,3.75
Transportation Planners,Active Learning,608,3.75
Treasurers and Controllers,Active Learning,608,3.75
Mathematical Technicians,Active Learning,608,3.66
Aerospace Engineers,Active Learning,608,3.62
Anesthesiologists,Active Learning,608,3.62
Biochemical Engineers,Active Learning,608,3.62
Bioinformatics Scientists,Active Learning,608,3.62
Broadcast News Analysts,Active Learning,608,3.62
"Career/Technical Education Teachers, Secondary School",Active Learning,608,3.62
Chemical Engineers,Active Learning,608,3.62
Climate Change Analysts,Active Learning,608,3.62
Commercial Pilots,Active Learning,608,3.62
Community Health Workers,Active Learning,608,3.62
Compliance Managers,Active Learning,608,3.62
Computer Hardware Engineers,Active Learning,608,3.62
Construction Managers,Active Learning,608,3.62
Credit Analysts,Active Learning,608,3.62
Credit Counselors,Active Learning,608,3.62
Dermatologists,Active Learning,608,3.62
Distance Learning Coordinators,Active Learning,608,3.62
"Education Administrators, Preschool and Childcare Center/Program",Active Learning,608,3.62
Emergency Medical Technicians and Paramedics,Active Learning,608,3.62
Environmental Compliance Inspectors,Active Learning,608,3.62
Environmental Economists,Active Learning,608,3.62
"Environmental Scientists and Specialists, Including Health",Active Learning,608,3.62
First-Line Supervisors of Animal Husbandry and Animal Care Workers,Active Learning,608,3.62
First-Line Supervisors of Police and Detectives,Active Learning,608,3.62
"Fraud Examiners, Investigators and Analysts",Active Learning,608,3.62
Gaming Managers,Active Learning,608,3.62
Geographers,Active Learning,608,3.62
"Geography Teachers, Postsecondary",Active Learning,608,3.62
Industrial-Organizational Psychologists,Active Learning,608,3.62
Instructional Designers and Technologists,Active Learning,608,3.62
Judicial Law Clerks,Active Learning,608,3.62
Loan Counselors,Active Learning,608,3.62
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",Active Learning,608,3.62
Marine Architects,Active Learning,608,3.62
"Middle School Teachers, Except Special and Career/Technical Education",Active Learning,608,3.62
Municipal Fire Fighting and Prevention Supervisors,Active Learning,608,3.62
Ophthalmologists,Active Learning,608,3.62
Pharmacists,Active Learning,608,3.62
"Philosophy and Religion Teachers, Postsecondary",Active Learning,608,3.62
Physical Medicine and Rehabilitation Physicians,Active Learning,608,3.62
Physician Assistants,Active Learning,608,3.62
"Poets, Lyricists and Creative Writers",Active Learning,608,3.62
Political Scientists,Active Learning,608,3.62
Radiologists,Active Learning,608,3.62
Real Estate Brokers,Active Learning,608,3.62
Respiratory Therapists,Active Learning,608,3.62
"Sales Agents, Securities and Commodities",Active Learning,608,3.62
Sales Engineers,Active Learning,608,3.62
Sales Managers,Active Learning,608,3.62
Search Marketing Strategists,Active Learning,608,3.62
Social and Community Service Managers,Active Learning,608,3.62
Sociologists,Active Learning,608,3.62
"Special Education Teachers, Kindergarten and Elementary School",Active Learning,608,3.62
"Special Education Teachers, Middle School",Active Learning,608,3.62
Speech-Language Pathologists,Active Learning,608,3.62
Statistical Assistants,Active Learning,608,3.62
Training and Development Specialists,Active Learning,608,3.62
