Series ID,Year,Period,Label,Value
LAUMT213114000000003,2014,M01,2014 Jan,7
LAUMT213114000000003,2014,M02,2014 Feb,7.3
LAUMT213114000000003,2014,M03,2014 Mar,7
LAUMT213114000000003,2014,M04,2014 Apr,5.8
LAUMT213114000000003,2014,M05,2014 May,6.1
LAUMT213114000000003,2014,M06,2014 Jun,6
LAUMT213114000000003,2014,M07,2014 Jul,5.9
LAUMT213114000000003,2014,M08,2014 Aug,5.5
LAUMT213114000000003,2014,M09,2014 Sep,5
LAUMT213114000000003,2014,M10,2014 Oct,4.7
LAUMT213114000000003,2014,M11,2014 Nov,4.8
LAUMT213114000000003,2014,M12,2014 Dec,4.5
LAUMT213114000000003,2015,M01,2015 Jan,5.4
LAUMT213114000000003,2015,M02,2015 Feb,5.1
LAUMT213114000000003,2015,M03,2015 Mar,5
LAUMT213114000000003,2015,M04,2015 Apr,4.4
LAUMT213114000000003,2015,M05,2015 May,4.8
LAUMT213114000000003,2015,M06,2015 Jun,4.8
LAUMT213114000000003,2015,M07,2015 Jul,5.2
LAUMT213114000000003,2015,M08,2015 Aug,4.4
LAUMT213114000000003,2015,M09,2015 Sep,4.3
LAUMT213114000000003,2015,M10,2015 Oct,4.3
LAUMT213114000000003,2015,M11,2015 Nov,4.5
LAUMT213114000000003,2015,M12,2015 Dec,4.6
LAUMT213114000000003,2016,M01,2016 Jan,5
LAUMT213114000000003,2016,M02,2016 Feb,5.2
LAUMT213114000000003,2016,M03,2016 Mar,5
LAUMT213114000000003,2016,M04,2016 Apr,4.1
