PRIM_STATE,AREA,AREA_NAME,OCC_CODE,Title,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
KY,31140,"Louisville/Jefferson County, KY-IN",00-0000,All Occupations,total,"624,970",1.4,1000,1,20.87,"43,410",1.6,8.68,11.05,16.51,25.29,36.73,"18,050","22,970","34,340","52,610","76,410",,
KY,31140,"Louisville/Jefferson County, KY-IN",11-0000,Management Occupations,major,"29,830",2.1,47.728,0.95,46.2,"96,090",1.3,20.03,27.33,39.81,56.74,80.52,"41,660","56,850","82,800","118,010","167,480",,
KY,31140,"Louisville/Jefferson County, KY-IN",11-1011,Chief Executives,detailed,"1,340",5.6,2.148,1.24,89.53,"186,220",4.1,38.04,52.85,79.06,#,#,"79,110","109,940","164,440",#,#,,
KY,31140,"Louisville/Jefferson County, KY-IN",11-1021,General and Operations Managers,detailed,"8,780",3.2,14.043,0.9,46.19,"96,080",2.2,17.85,25.27,37.88,56.39,89.67,"37,120","52,560","78,790","117,290","186,500",,
KY,31140,"Louisville/Jefferson County, KY-IN",Nov-11,Advertising and Promotions Managers,detailed,140,19.3,0.232,1.09,37.23,"77,430",13.1,17.57,23.16,32.12,38.99,57.4,"36,540","48,160","66,800","81,110","119,390",,
KY,31140,"Louisville/Jefferson County, KY-IN",Nov-21,Marketing Managers,detailed,630,6.6,1.01,0.72,54.63,"113,630",3.7,26.99,35.88,47.19,62.28,#,"56,150","74,630","98,160","129,550",#,,
KY,31140,"Louisville/Jefferson County, KY-IN",Nov-22,Sales Managers,detailed,"1,430",9.4,2.291,0.87,49.3,"102,550",4.1,23.53,29.27,43.95,61.42,83.51,"48,950","60,880","91,410","127,740","173,700",,
KY,31140,"Louisville/Jefferson County, KY-IN",Nov-31,Public Relations and Fundraising Managers,detailed,280,12.6,0.452,1.03,39.91,"83,020",5.5,18.65,27.21,36.66,52.54,67.96,"38,780","56,590","76,250","109,290","141,360",,
KY,31140,"Louisville/Jefferson County, KY-IN",Nov-11,Administrative Services Managers,detailed,"1,020",9.5,1.64,0.84,38.84,"80,780",3.4,20,26.81,35.86,46.96,63.38,"41,590","55,760","74,600","97,670","131,830",,
KY,31140,"Louisville/Jefferson County, KY-IN",Nov-21,Computer and Information Systems Managers,detailed,"1,100",6,1.762,0.71,55.13,"114,670",2.3,30.91,41.25,53.2,67.17,80.22,"64,290","85,800","110,650","139,720","166,870",,
KY,31140,"Louisville/Jefferson County, KY-IN",Nov-31,Financial Managers,detailed,"2,560",5.1,4.092,1.06,50.44,"104,920",2.4,24.93,31.01,44.69,64.31,86.29,"51,850","64,500","92,960","133,760","179,480",,
KY,31140,"Louisville/Jefferson County, KY-IN",Nov-51,Industrial Production Managers,detailed,"1,190",6.3,1.901,1.55,41.31,"85,930",2.2,24.56,30.23,37.73,47.28,62.95,"51,090","62,870","78,480","98,350","130,930",,
KY,31140,"Louisville/Jefferson County, KY-IN",Nov-61,Purchasing Managers,detailed,310,6.7,0.501,0.95,48.14,"100,130",3.5,27.01,33.67,44.99,57.31,77.32,"56,190","70,030","93,570","119,210","160,830",,
KY,31140,"Louisville/Jefferson County, KY-IN",Nov-71,"Transportation, Storage, and Distribution Managers",detailed,730,7,1.17,1.48,41.33,"85,970",2.4,24.01,30.36,40.17,51.15,60.93,"49,950","63,150","83,550","106,390","126,740",,
KY,31140,"Louisville/Jefferson County, KY-IN",Nov-11,Compensation and Benefits Managers,detailed,80,11.6,0.125,1.08,51.63,"107,390",6,23.13,34.01,50.44,64.9,83.2,"48,110","70,740","104,900","135,000","173,050",,
KY,31140,"Louisville/Jefferson County, KY-IN",Nov-21,Human Resources Managers,detailed,520,6.8,0.84,0.94,46.74,"97,210",2.7,28.23,35.06,44.46,55.97,68.7,"58,720","72,930","92,480","116,420","142,890",,
KY,31140,"Louisville/Jefferson County, KY-IN",Nov-31,Training and Development Managers,detailed,390,32.1,0.629,2.76,47.88,"99,590",6.2,26.58,33.17,41.88,53.94,70.31,"55,290","68,990","87,110","112,200","146,240",,
KY,31140,"Louisville/Jefferson County, KY-IN",Nov-21,Construction Managers,detailed,"1,050",14.9,1.68,0.97,37.27,"77,520",7,16.97,23.92,33.24,45.68,60.54,"35,310","49,760","69,130","95,010","125,920",,
KY,31140,"Louisville/Jefferson County, KY-IN",Nov-31,"Education Administrators, Preschool and Childcare Center/Program",detailed,60,21.3,0.099,0.29,23.78,"49,470",6.2,15.6,18.41,21.64,27.93,37,"32,440","38,300","45,010","58,090","76,970",,
KY,31140,"Louisville/Jefferson County, KY-IN",Nov-32,"Education Administrators, Elementary and Secondary School",detailed,"1,050",2.7,1.687,0.99,*,"93,560",4.4,*,*,*,*,*,"63,620","78,980","94,130","111,070","123,790",TRUE,
KY,31140,"Louisville/Jefferson County, KY-IN",Nov-33,"Education Administrators, Postsecondary",detailed,370,7,0.588,0.6,39.21,"81,560",6.2,17.79,23.89,31.71,48.86,70.74,"36,990","49,680","65,950","101,630","147,140",,
KY,31140,"Louisville/Jefferson County, KY-IN",Nov-39,"Education Administrators, All Other",detailed,80,18.6,0.123,0.53,38.36,"79,780",4.6,25.43,29.25,34.41,43.96,59.23,"52,890","60,830","71,570","91,440","123,190",,
KY,31140,"Louisville/Jefferson County, KY-IN",Nov-41,Architectural and Engineering Managers,detailed,480,12,0.775,0.59,56.32,"117,140",1.9,37.07,45.91,55.14,63.61,82.16,"77,110","95,490","114,700","132,300","170,880",,
KY,31140,"Louisville/Jefferson County, KY-IN",Nov-51,Food Service Managers,detailed,"1,480",10,2.371,1.62,23.28,"48,420",3.6,15.63,19.1,22.21,26.32,32.45,"32,510","39,740","46,200","54,740","67,490",,
KY,31140,"Louisville/Jefferson County, KY-IN",Nov-61,Funeral Service Managers,detailed,30,32.5,0.051,0.84,35.69,"74,240",21.3,20.57,22.87,30.08,37.01,77.24,"42,780","47,570","62,560","76,990","160,650",,
KY,31140,"Louisville/Jefferson County, KY-IN",Nov-81,Lodging Managers,detailed,120,31.9,0.186,0.72,22.92,"47,670",13,15.14,16.44,18.4,25.85,43.43,"31,500","34,190","38,280","53,770","90,330",,
