SOC,Description,Pct. 25 Hourly Earnings,2016 - 2026 Change,Age 55-64,Age 65+,Typical Entry Level Education,Typical On-The-Job Training
11-1011,Chief Executives,$57.72, (12),327,121,Bachelor's degree,None
11-1021,General and Operations Managers,$25.47,641,"1,566",286,Bachelor's degree,None
11-1031,Legislators,$7.99, (1),23,22,Bachelor's degree,None
11-2011,Advertising and Promotions Managers,$23.07,2,18,<10,Bachelor's degree,None
11-2021,Marketing Managers,$35.00,78,101,18,Bachelor's degree,None
11-2022,Sales Managers,$30.81,118,237,43,Bachelor's degree,None
11-2031,Public Relations and Fundraising Managers,$26.74,17,51,<10,Bachelor's degree,None
11-3011,Administrative Services Managers,$25.53,109,223,47,Bachelor's degree,None
11-3021,Computer and Information Systems Managers,$39.92,282,163,17,Bachelor's degree,None
11-3031,Financial Managers,$30.63,165,434,71,Bachelor's degree,None
11-3051,Industrial Production Managers,$30.06, (13),242,25,Bachelor's degree,None
11-3061,Purchasing Managers,$31.91,13,74,11,Bachelor's degree,None
11-3071,"Transportation, Storage, and Distribution Managers",$31.24,49,125,20,High school diploma or equivalent,None
11-3111,Compensation and Benefits Managers,$35.55,11,14,<10,Bachelor's degree,None
11-3121,Human Resources Managers,$33.76,50,122,17,Bachelor's degree,None
11-3131,Training and Development Managers,$30.81,16,59,<10,Bachelor's degree,None
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",$22.27, (8),11,<10,High school diploma or equivalent,None
11-9021,Construction Managers,$26.75,68,245,45,Bachelor's degree,Moderate-term on-the-job training
11-9031,"Education Administrators, Preschool and Childcare Center/Program",$16.04,24,19,<10,Bachelor's degree,None
11-9032,"Education Administrators, Elementary and Secondary School",$39.01,75,263,62,Master's degree,None
11-9033,"Education Administrators, Postsecondary",$26.25,37,80,22,Master's degree,None
11-9039,"Education Administrators, All Other",$28.29,0,21,<10,Bachelor's degree,None
11-9041,Architectural and Engineering Managers,$46.45,33,117,22,Bachelor's degree,None
11-9051,Food Service Managers,$18.97,64,93,29,High school diploma or equivalent,None
11-9061,Funeral Service Managers,$25.83,5,<10,<10,Associate's degree,None
11-9071,Gaming Managers,$23.92,Insf. Data,<10,<10,High school diploma or equivalent,None
11-9081,Lodging Managers,$16.33,4,14,<10,High school diploma or equivalent,None
11-9111,Medical and Health Services Managers,$34.43,230,334,56,Bachelor's degree,None
11-9121,Natural Sciences Managers,$39.95,4,20,<10,Bachelor's degree,None
11-9131,Postmasters and Mail Superintendents,$28.81, (10),16,<10,High school diploma or equivalent,Moderate-term on-the-job training
11-9141,"Property, Real Estate, and Community Association Managers",$17.37,57,147,54,High school diploma or equivalent,None
11-9151,Social and Community Service Managers,$22.58,36,131,48,Bachelor's degree,None
11-9161,Emergency Management Directors,$14.49,3,<10,<10,Bachelor's degree,None
11-9199,"Managers, All Other",$29.90,149,372,81,Bachelor's degree,None
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",$22.04,0,<10,<10,Bachelor's degree,None
13-1021,"Buyers and Purchasing Agents, Farm Products",$20.25,1,<10,<10,Bachelor's degree,Long-term on-the-job training
13-1022,"Wholesale and Retail Buyers, Except Farm Products",$17.39,30,80,24,Bachelor's degree,Long-term on-the-job training
13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",$19.59,59,252,46,Bachelor's degree,Long-term on-the-job training
13-1031,"Claims Adjusters, Examiners, and Investigators",$19.65,383,284,50,High school diploma or equivalent,Long-term on-the-job training
13-1032,"Insurance Appraisers, Auto Damage",$19.71,4,13,<10,Postsecondary nondegree award,Moderate-term on-the-job training
13-1041,Compliance Officers,$19.94,85,178,37,Bachelor's degree,Moderate-term on-the-job training
13-1051,Cost Estimators,$23.09,73,203,68,Bachelor's degree,None
13-1071,Human Resources Specialists,$18.62,182,280,56,Bachelor's degree,None
13-1074,Farm Labor Contractors,$0.00,0,0,0,No formal educational credential,Short-term on-the-job training
13-1075,Labor Relations Specialists,$9.05,24,134,34,Bachelor's degree,None
13-1081,Logisticians,$29.94,32,73,12,Bachelor's degree,None
13-1111,Management Analysts,$25.20,494,307,86,Bachelor's degree,None
13-1121,"Meeting, Convention, and Event Planners",$15.23,22,41,11,Bachelor's degree,None
13-1131,Fundraisers,$14.54,12,33,15,Bachelor's degree,None
13-1141,"Compensation, Benefits, and Job Analysis Specialists",$22.35,44,68,11,Bachelor's degree,None
13-1151,Training and Development Specialists,$18.57,120,211,31,Bachelor's degree,None
13-1161,Market Research Analysts and Marketing Specialists,$18.22,306,167,40,Bachelor's degree,None
13-1199,"Business Operations Specialists, All Other",$21.58,392,594,122,Bachelor's degree,None
13-2011,Accountants and Auditors,$21.19,685,803,203,Bachelor's degree,None
13-2021,Appraisers and Assessors of Real Estate,$18.42,10,54,22,Bachelor's degree,Long-term on-the-job training
13-2031,Budget Analysts,$22.94,16,37,<10,Bachelor's degree,None
13-2041,Credit Analysts,$21.08, (1),23,<10,Bachelor's degree,None
13-2051,Financial Analysts,$23.82,119,43,12,Bachelor's degree,None
13-2052,Personal Financial Advisors,$18.01,105,116,41,Bachelor's degree,Long-term on-the-job training
13-2053,Insurance Underwriters,$21.72,106,57,<10,Bachelor's degree,Moderate-term on-the-job training
13-2061,Financial Examiners,$21.02,16,34,<10,Bachelor's degree,Moderate-term on-the-job training
13-2071,Credit Counselors,$16.64, (4),12,<10,Bachelor's degree,Moderate-term on-the-job training
